Hourly,kWh.diff-->kW,perc
0:00,0.060667,0.060667
1:00,0.041,0.041
2:00,0.034667,0.034667
3:00,0.039,0.039
4:00,0.040333,0.040333
5:00,0.040667,0.040667
6:00,0.035333,0.035333
7:00,0.061667,0.061667
8:00,0.041666,0.041666
9:00,0.050334,0.050334
10:00,0.044,0.044
11:00,0.232333,0.232333
12:00,0.043333,0.043333
13:00,0.035,0.035
14:00,0.054,0.054
15:00,0.057,0.057
16:00,0.047,0.047
17:00,0.179334,0.179334
18:00,0.730666,0.730666
19:00,0.509334,0.509334
20:00,0.055666,0.055666
21:00,0.046667,0.046667
22:00,0.464,0.464
23:00,1.326,1.326
0:00,0.686333,0.686333
1:00,0.375,0.375
2:00,0.036,0.036
3:00,0.036667,0.036667
4:00,0.035,0.035
5:00,0.038,0.038
6:00,0.076,0.076
7:00,0.18,0.18
8:00,0.048333,0.048333
9:00,0.035334,0.035334
10:00,0.031666,0.031666
11:00,0.06,0.06
12:00,0.032,0.032
13:00,0.038,0.038
14:00,0.033334,0.033334
15:00,0.025,0.025
16:00,0.034666,0.034666
17:00,0.103667,0.103667
18:00,0.183333,0.183333
19:00,0.055667,0.055667
20:00,0.287667,0.287667
21:00,0.733333,0.733333
22:00,0.693,0.693
23:00,0.737,0.737
0:00,0.037333,0.037333
1:00,0.033,0.033
2:00,0.035334,0.035334
3:00,0.032333,0.032333
4:00,0.032,0.032
5:00,0.035667,0.035667
6:00,0.067333,0.067333
7:00,0.166333,0.166333
8:00,0.287667,0.287667
9:00,0.033333,0.033333
10:00,0.033,0.033
11:00,0.054,0.054
12:00,0.034667,0.034667
13:00,0.034,0.034
14:00,0.029,0.029
15:00,0.037333,0.037333
16:00,0.032334,0.032334
17:00,0.033666,0.033666
18:00,0.037334,0.037334
19:00,0.085666,0.085666
20:00,0.726667,0.726667
21:00,0.728667,0.728667
22:00,0.726333,0.726333
23:00,0.578,0.578
0:00,0.038,0.038
1:00,0.033,0.033
2:00,0.036,0.036
3:00,0.033,0.033
4:00,0.033,0.033
5:00,0.037333,0.037333
6:00,0.066667,0.066667
7:00,0.033,0.033
8:00,0.040667,0.040667
9:00,0.046333,0.046333
10:00,0.032667,0.032667
11:00,0.031666,0.031666
12:00,0.032,0.032
13:00,0.035334,0.035334
14:00,0.033666,0.033666
15:00,0.032334,0.032334
16:00,0.029,0.029
17:00,0.031666,0.031666
18:00,0.081,0.081
19:00,0.055667,0.055667
20:00,0.038,0.038
21:00,0.073333,0.073333
22:00,0.089667,0.089667
23:00,0.057667,0.057667
0:00,0.037666,0.037666
1:00,0.039,0.039
2:00,0.036667,0.036667
3:00,0.030667,0.030667
4:00,0.034333,0.034333
5:00,0.037333,0.037333
6:00,0.036334,0.036334
7:00,0.063666,0.063666
8:00,0.067,0.067
9:00,0.076,0.076
10:00,0.227667,0.227667
11:00,1.125333,1.125333
12:00,1.366334,1.366334
13:00,0.449333,0.449333
14:00,0.043333,0.043333
15:00,0.033,0.033
16:00,0.033,0.033
17:00,0.280667,0.280667
18:00,0.756,0.756
19:00,0.766,0.766
20:00,0.085667,0.085667
21:00,0.040333,0.040333
22:00,0.039,0.039
23:00,0.338333,0.338333
0:00,0.679334,0.679334
1:00,0.678666,0.678666
2:00,0.509667,0.509667
3:00,0.035,0.035
4:00,0.030667,0.030667
5:00,0.031666,0.031666
6:00,0.069,0.069
7:00,0.04,0.04
8:00,0.498334,0.498334
9:00,0.712333,0.712333
10:00,0.706,0.706
11:00,0.168667,0.168667
12:00,0.064,0.064
13:00,0.045666,0.045666
14:00,0.036667,0.036667
15:00,0.033667,0.033667
16:00,0.032,0.032
17:00,0.035333,0.035333
18:00,0.034,0.034
19:00,0.034333,0.034333
20:00,0.031667,0.031667
21:00,0.030667,0.030667
22:00,0.035666,0.035666
23:00,0.036667,0.036667
0:00,0.036,0.036
1:00,0.032667,0.032667
2:00,0.032333,0.032333
3:00,0.035667,0.035667
4:00,0.032333,0.032333
5:00,0.034667,0.034667
6:00,0.031,0.031
7:00,0.032666,0.032666
8:00,0.201,0.201
9:00,0.718667,0.718667
10:00,0.186,0.186
11:00,0.035333,0.035333
12:00,0.064,0.064
13:00,0.068667,0.068667
14:00,0.037667,0.037667
15:00,0.036333,0.036333
16:00,0.256333,0.256333
17:00,0.035667,0.035667
18:00,0.038,0.038
19:00,0.043333,0.043333
20:00,0.039,0.039
21:00,0.048,0.048
22:00,0.054,0.054
23:00,0.041667,0.041667
0:00,0.042667,0.042667
1:00,0.041,0.041
2:00,0.043,0.043
3:00,0.04,0.04
4:00,0.041666,0.041666
5:00,0.036334,0.036334
6:00,0.074666,0.074666
7:00,0.043334,0.043334
8:00,0.041,0.041
9:00,0.153666,0.153666
10:00,0.678667,0.678667
