kW,perc
0.081806323,0.081806323
0.09145171,0.09145171
0.072580677,0.072580677
0.053494645,0.053494645
0.036440839,0.036440839
0.044591387,0.044591387
0.045268806,0.045268806
0.057354871,0.057354871
0.101032258,0.101032258
0.12935471,0.12935471
0.099914097,0.099914097
0.091171968,0.091171968
0.107236613,0.107236613
0.051247258,0.051247258
0.038451581,0.038451581
0.044247419,0.044247419
0.06613971,0.06613971
0.110430161,0.110430161
0.186903258,0.186903258
0.15203229,0.15203229
0.119021452,0.119021452
0.155322613,0.155322613
0.173677355,0.173677355
0.147215097,0.147215097
